datetime,open,high,low,close,volume,is_min,is_max
2025-09-15 19:35:00,236.015,236.13,235.89149,235.935,342493,0,0
2025-09-15 19:40:00,235.9332,236.0157,235.73,235.7617,427803,0,0
2025-09-15 19:45:00,235.75999,235.97501,235.67999,235.94501,415395,1,0
2025-09-15 19:50:00,235.94501,235.96001,235.69,235.96001,657099,0,0
2025-09-15 19:55:00,235.95,236.78999,235.86,236.75999,2432989,0,0
2025-09-16 13:30:00,237.0,237.33,236.69,236.99001,2953084,0,0
2025-09-16 13:35:00,237.00999,237.39,236.3235,237.03,806745,0,0
2025-09-16 13:40:00,237.03,238.34,237.03,238.30499,1062593,0,0
2025-09-16 13:45:00,238.285,239.14999,238.02,239.13,1360736,0,0
2025-09-16 13:50:00,239.13,239.85001,238.8,239.85001,1312800,0,0
2025-09-16 13:55:00,239.84,240.56,239.5,240.36,1693218,0,0
2025-09-16 14:00:00,240.375,241.22,240.3712,240.98,1456049,0,0
2025-09-16 14:05:00,240.99001,241.06,240.3412,240.61,863968,0,1
2025-09-16 14:10:00,240.58,240.77499,240.17,240.66,783416,0,0
2025-09-16 14:15:00,240.67999,240.99001,240.66,240.85001,754673,0,0
2025-09-16 14:20:00,240.86,240.97,239.82001,240.205,752134,0,0
2025-09-16 14:25:00,240.22,240.35001,239.48,239.53,619861,0,0
2025-09-16 14:30:00,239.53,239.73,239.17,239.36279,595091,0,0
2025-09-16 14:35:00,239.38,239.69,239.17999,239.45,576201,0,0
2025-09-16 14:40:00,239.46001,239.62,239.17999,239.24001,347522,0,0
2025-09-16 14:45:00,239.23,239.28999,238.8372,238.9254,438336,0,0
2025-09-16 14:50:00,238.935,239.17999,238.73,238.985,406309,0,0
2025-09-16 14:55:00,238.98,239.24001,238.80859,238.98,395495,0,0
2025-09-16 15:00:00,238.99001,239.05,238.25999,238.405,399553,0,0
2025-09-16 15:05:00,238.405,238.87,238.245,238.77,449969,1,0
2025-09-16 15:10:00,238.7655,239.36681,238.69,239.3593,491709,0,0
2025-09-16 15:15:00,239.35001,239.62,239.00999,239.56,503021,0,0
2025-09-16 15:20:00,239.56,239.85001,239.48039,239.62,462328,0,0
2025-09-16 15:25:00,239.61,239.73,239.44009,239.5929,272744,0,0
