datetime,open,high,low,close,volume
2025-05-28 16:00:00,200.91,201.25999,200.862,201.21001,717447
2025-05-28 16:15:00,201.2,201.28999,201.03,201.10001,558799
2025-05-28 16:30:00,201.09,201.35001,201.03999,201.215,616761
2025-05-28 16:45:00,201.21989,201.23869,200.825,201.08,694451
2025-05-28 17:00:00,201.09,201.32001,200.92999,201.19501,654277
2025-05-28 17:15:00,201.19,201.52,201.09,201.11,727466
2025-05-28 17:30:00,201.12,201.1375,200.73,200.88,908382
2025-05-28 17:45:00,200.88,200.95,200.7601,200.86,536934
2025-05-28 18:00:00,200.85921,201.25,200.82021,201.125,574314
2025-05-28 18:15:00,201.125,201.17,200.8,200.85001,545006
2025-05-28 18:30:00,200.84,201.21001,200.78,201.07001,674599
2025-05-28 18:45:00,201.08,201.19501,200.32001,200.88499,972237
2025-05-28 19:00:00,200.87,201.5211,200.81,201.13,1082818
2025-05-28 19:15:00,201.14,201.24001,200.91,201.1286,972563
2025-05-28 19:30:00,201.09,201.35001,200.95399,201.31,1265739
2025-05-28 19:45:00,201.3286,201.395,200.19501,200.42,3373135
2025-05-29 13:30:00,203.27,203.78,201.95,202.16,7018750
2025-05-29 13:45:00,202.17999,202.41969,201.0,201.345,2682428
2025-05-29 14:00:00,201.33,201.66451,200.75999,201.17509,2233408
2025-05-29 14:15:00,201.19,201.38499,200.85001,201.14,1347946
2025-05-29 14:30:00,201.11,201.38,200.87,201.0,1241853
2025-05-29 14:45:00,200.98,201.64999,200.961,201.46001,1250774
2025-05-29 15:00:00,201.45,201.4899,200.92999,200.97501,1105443
2025-05-29 15:15:00,200.955,201.05,200.55,200.74001,1367605
2025-05-29 15:30:00,200.74001,200.8,199.96001,200.03,1867179
2025-05-29 15:45:00,200.03,200.24001,198.7,198.86501,1613932
2025-05-29 16:00:00,198.83,199.53999,198.50999,199.53999,1650639
2025-05-29 16:15:00,199.53,199.75,199.38,199.42,1005270
2025-05-29 16:30:00,199.39999,199.86,199.39999,199.83,858475
2025-05-29 16:45:00,199.8336,200.205,199.62,200.1001,1006031
2025-05-29 17:00:00,200.09,200.4496,200.07001,200.16,807433
2025-05-29 17:15:00,200.19,200.32001,199.92,199.97501,1263203
2025-05-29 17:30:00,199.96001,200.17,199.47,199.495,1015583
2025-05-29 17:45:00,199.5,199.6469,199.06,199.21001,990124
2025-05-29 18:00:00,199.205,199.77,199.205,199.66,897791
2025-05-29 18:15:00,199.67,199.705,199.03999,199.03999,959782
2025-05-29 18:30:00,199.03999,199.48,198.95,199.3,973253
2025-05-29 18:45:00,199.32001,199.57001,198.77,198.925,1103803
2025-05-29 19:00:00,198.91499,199.14999,198.57001,198.715,1446554
2025-05-29 19:15:00,198.73,199.44501,198.66,199.1393,1327204
2025-05-29 19:30:00,199.125,199.3898,199.08,199.38499,1655855
2025-05-29 19:45:00,199.38,200.248,199.35001,199.95,4232667
2025-05-30 13:30:00,199.405,199.57001,198.37,198.58,4351060
2025-05-30 13:45:00,198.545,198.9799,197.97,198.2477,1826310
2025-05-30 14:00:00,198.22,199.343,198.15601,198.94501,1733687
2025-05-30 14:15:00,198.95,199.33,198.86501,199.24001,1034011
2025-05-30 14:30:00,199.23,199.48,199.08,199.14999,881978
2025-05-30 14:45:00,199.13,199.485,198.89999,199.035,1030601
2025-05-30 15:00:00,199.05,199.44,198.95,199.10741,693015
2025-05-30 15:15:00,199.11,199.41,198.81,199.31,696951
2025-05-30 15:30:00,199.3,199.37,198.73,198.74001,813883
2025-05-30 15:45:00,198.74001,199.17,198.61011,198.88,656266
2025-05-30 16:00:00,198.88,198.99001,198.61,198.85001,633112
2025-05-30 16:15:00,198.85001,198.89,197.5504,197.715,1535234
2025-05-30 16:30:00,197.72,197.785,196.78,197.36,2069279
2025-05-30 16:45:00,197.35001,197.44,197.09,197.3567,1125660
2025-05-30 17:00:00,197.34,198.17,197.17,197.97,1301846
2025-05-30 17:15:00,197.99001,198.10001,197.69,198.08501,609056
2025-05-30 17:30:00,198.08,198.36,197.95,198.08,688066
2025-05-30 17:45:00,198.07001,198.47,197.98,198.215,698351
2025-05-30 18:00:00,198.22,198.7,198.17999,198.55,629524
